15 15
1 2 2
1 3 3
1 4 4
1 5 1
1 6 2
1 7 3
1 8 2
1 9 1
1 10 2
1 11 3
1 12 4
1 13 1
1 14 2
8 1 3
8 2 2
8 3 3
8 4 4
8 5 1
8 6 2
8 7 3
8 9 1
8 10 2
8 11 3
8 12 4
8 13 1
8 14 2
8 15 3
15 2 1
15 3 2
15 4 3
15 5 4
15 6 1
15 7 2
15 8 3
15 9 4
15 10 1
15 11 2
15 12 3
15 13 4
15 14 1
2 1 4
3 1 1
4 1 2
5 1 3
6 1 4
7 1 1
8 1 2
9 1 3
10 1 4 
11 1 1
12 1 2
13 1 3
14 1 4
1 8 3
2 8 4
3 8 1
4 8 2
5 8 3
6 8 4
7 8 1
9 8 3
10 8 4 
11 8 1
12 8 2
13 8 3
14 8 4
15 8 1
2 15 4
3 15 1
4 15 2
5 15 3
6 15 4
7 15 1
8 15 2
9 15 3
10 15 4 
11 15 1
12 15 2
13 15 3
14 15 4
2 2 3
3 3 4
4 4 1
5 5 2
6 6 3
7 7 4
9 9 1
10 10 2
11 11 3
12 12 4
13 13 1
14 14 2
2 14 1
3 13 2
4 12 3
5 11 4
6 10 1
7 9 2
9 7 3
10 6 4
11 5 1
12 4 2
13 3 3
14 2 4
